City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Amahai,ID,87.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
5,Charters Towers,AU,84.67,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
6,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Ahipara,NZ,75.24,light rain,-35.1667,173.1667,Ahipara Holiday Park
19,Esperance,AU,84.9,clear sky,-33.8667,121.9,Hospitality Esperance
23,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
25,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
28,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
32,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
33,Labuhan,ID,82.49,broken clouds,-6.8844,112.2051,DoubleFAG
37,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
38,Arraial Do Cabo,BR,76.62,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
46,Samarai,PG,84.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
49,Majene,ID,85.41,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
54,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
55,Whitianga,NZ,76.01,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
56,Soyo,AO,77.74,overcast clouds,-6.1349,12.3689,Hotel Mpampa
59,Butaritari,KI,82.78,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Sampit,ID,84.49,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
62,Puerto Ayora,EC,75.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Bonthe,SL,75.4,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
89,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
94,Arawa,PG,89.33,few clouds,-6.2132,155.5367,Coastline Guest House
98,Presidencia Roque Saenz Pena,AR,75.15,clear sky,-26.7852,-60.4388,Hotel Gualok
99,Tulum,MX,75.25,broken clouds,20.2167,-87.4667,Kin Ha Tulum
102,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
104,Meulaboh,ID,78.76,overcast clouds,4.1363,96.1285,Kost Pria
105,Moerai,PF,80.2,overcast clouds,-22.4333,-151.3333,Le Manotel
123,Matam,SN,75.78,clear sky,15.6175,-13.3303,Auberge Beelel Jeeri
132,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
133,Kavaratti,IN,77.95,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
135,Port Lincoln,AU,78.89,clear sky,-34.7333,135.8667,Port Lincoln Hotel
137,Isangel,VU,82.36,overcast clouds,-19.55,169.2667,Tanna Lodge
138,Sao Joao Da Barra,BR,77.04,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
143,Sibolga,ID,77.92,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
150,Sinnamary,GF,76.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
153,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
155,Saint-Louis,SN,76.32,clear sky,16.3333,-15.0,
156,Nieuw Amsterdam,SR,77.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
157,Luanda,AO,75.65,overcast clouds,-8.8368,13.2343,Hotel Fórum
158,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
161,Antalaha,MG,76.28,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
168,Kavieng,PG,83.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
170,Calceta,EC,76.91,broken clouds,-0.85,-80.1667,"Hostal ""San Placido"""
173,Tadine,NC,83.28,scattered clouds,-21.55,167.8833,
178,Sumenep,ID,81.95,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
179,Bonfim,BR,78.08,overcast clouds,3.0833,-59.95,
180,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
183,Mitsamiouli,KM,81.73,overcast clouds,-11.3847,43.2844,Foyer ADM
185,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Scoop Guest House
187,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
194,Bima,ID,84.81,scattered clouds,-8.4667,118.7167,Lambitu Hotel
196,Codrington,AU,79.12,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
199,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
201,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
202,Tecoanapa,MX,77.54,clear sky,16.5167,-98.75,Hotel Manglares
209,Faanui,PF,80.87,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Kinablangan,PH,80.8,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
213,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
217,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
222,Port Macquarie,AU,75.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
227,Broken Hill,AU,80.83,clear sky,-31.95,141.4333,Royal Exchange Hotel
228,Merauke,ID,85.78,overcast clouds,-8.4667,140.3333,
231,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
234,Bundaberg,AU,81.21,overcast clouds,-24.85,152.35,Takalvan Motel
238,Mumford,GH,78.91,light rain,5.2618,-0.759,Spanish Villa
241,Geraldton,AU,79.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
243,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
250,Sokoni,TZ,80.17,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
254,Casay,PH,79.32,overcast clouds,9.8204,123.5496,Blue Pot Family Resort
255,Jitra,MY,82.29,few clouds,6.2681,100.4217,Hotel Darulaman
261,Grand Baie,MU,79.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
263,Honiara,SB,87.21,overcast clouds,-9.4333,159.95,Heritage Park Hotel
268,Moroni,KM,78.87,overcast clouds,-11.7022,43.2551,Hotel les Arcades
274,Tabou,CI,78.96,light rain,4.423,-7.3528,hotêl doufoulougou
275,El Tigre,VE,79.57,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
281,Caravelas,BR,75.99,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
284,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
285,Afonso Bezerra,BR,78.03,clear sky,-5.4983,-36.5056,Pousada Shammah
288,Trairi,BR,77.4,few clouds,-3.2778,-39.2689,janelas do mar
291,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
292,Basiad,PH,81.59,overcast clouds,14.1562,122.3375,
295,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
