City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Amahai,ID,-3.3333,128.9167,87.1,59,100,2.46,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,70.12,70,75,3.42,broken clouds
2,Bedesa,ET,8.9,40.7833,58.91,32,30,5.01,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,70.52,86,58,25.14,broken clouds
4,Airai,TL,-8.9266,125.4092,73.17,63,59,2.46,broken clouds
5,Charters Towers,AU,-20.1,146.2667,84.67,40,0,11.7,clear sky
6,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,99,18.19,light rain
7,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
8,Hasaki,JP,35.7333,140.8333,45.28,33,0,14.32,clear sky
9,Hermanus,ZA,-34.4187,19.2345,69.91,90,49,9.86,scattered clouds
10,Mataura,NZ,-46.1927,168.8643,58.48,40,22,4.52,few clouds
11,Aliwal North,ZA,-30.6937,26.7114,60.69,76,8,4.41,clear sky
12,Vardo,NO,70.3705,31.1107,27.03,79,100,28.03,overcast clouds
13,Ahipara,NZ,-35.1667,173.1667,75.24,84,100,5.95,light rain
14,Qaanaaq,GL,77.484,-69.3632,-0.11,96,100,3.83,overcast clouds
15,Bluff,NZ,-46.6,168.3333,58.8,59,14,11.05,few clouds
16,Beroroha,MG,-21.6667,45.1667,74.48,86,100,18.41,moderate rain
17,Namibe,AO,-15.1961,12.1522,72.23,67,85,8.86,overcast clouds
18,Bay Roberts,CA,47.5999,-53.2648,46.33,95,100,5.99,moderate rain
19,Esperance,AU,-33.8667,121.9,84.9,37,1,13.53,clear sky
20,Lata,PT,40.1629,-8.3327,49.06,74,0,5.32,clear sky
21,Ulagan,RU,50.6321,87.9563,-13.05,83,30,3.11,scattered clouds
22,Beringovskiy,RU,63.05,179.3167,-8.72,93,80,13.73,broken clouds
23,Vaini,TO,-21.2,-175.2,77.16,94,100,14.97,light rain
24,Pevek,RU,69.7008,170.3133,-26.55,99,30,1.66,scattered clouds
25,Alofi,NU,-19.0595,-169.9187,80.6,78,100,13.73,light rain
26,Vinh,VN,18.6667,105.6667,61.57,75,100,5.91,overcast clouds
27,Busselton,AU,-33.65,115.3333,71.87,68,71,14.18,broken clouds
28,Georgetown,MY,5.4112,100.3354,82.33,77,20,3.44,few clouds
29,Longyearbyen,SJ,78.2186,15.6401,10.24,72,20,21.85,few clouds
30,Ponta Do Sol,PT,32.6667,-17.1,67.12,51,50,12.95,scattered clouds
31,Ventspils,LV,57.3894,21.5606,39.13,87,100,17.27,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,79.57,67,100,13.73,overcast clouds
33,Labuhan,ID,-6.8844,112.2051,82.49,78,70,11.74,broken clouds
34,Itaituba,BR,-4.2761,-55.9836,73.81,99,100,0.51,overcast clouds
35,Luderitz,NA,-26.6481,15.1594,66.76,81,92,10.16,overcast clouds
36,Shingu,JP,33.7333,135.9833,39.9,45,67,15.21,broken clouds
37,Touros,BR,-5.1989,-35.4608,79.7,71,22,11.32,few clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,76.62,87,54,26.49,broken clouds
39,Malampaka,TZ,-3.1333,33.5333,62.53,84,100,2.1,overcast clouds
40,Juneau,US,58.3019,-134.4197,37.4,96,100,5.99,moderate rain
41,Norman Wells,CA,65.282,-126.8329,-10.01,92,44,6.26,scattered clouds
42,Atuona,PF,-9.8,-139.0333,79.09,75,30,21.05,scattered clouds
43,Severodvinsk,RU,64.5635,39.8302,3.31,87,71,13.87,broken clouds
44,Svetlogorsk,BY,52.6333,29.7333,31.64,89,100,13.58,overcast clouds
45,Saint Anthony,US,45.0205,-93.218,25.92,73,40,1.01,scattered clouds
46,Samarai,PG,-10.6167,150.6667,84.88,70,100,4.09,overcast clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,62.87,73,75,1.99,broken clouds
48,Constitucion,CL,-35.3333,-72.4167,59.97,74,0,11.36,clear sky
49,Majene,ID,-3.5403,118.9707,85.41,65,41,1.28,scattered clouds
50,Klaksvik,FO,62.2266,-6.589,34.72,85,100,13.69,snow
51,Hundorp,NO,61.5552,9.9407,9.66,100,89,3.06,overcast clouds
52,Iqaluit,CA,63.7506,-68.5145,-37.17,99,100,2.48,overcast clouds
53,Ilulissat,GL,69.2167,-51.1,3.22,51,100,14.97,overcast clouds
54,Yeppoon,AU,-23.1333,150.7333,83.98,56,5,20.09,clear sky
55,Whitianga,NZ,-36.8333,175.7,76.01,98,100,9.55,overcast clouds
56,Soyo,AO,-6.1349,12.3689,77.74,84,99,3.51,overcast clouds
57,Maues,BR,-3.3836,-57.7186,73.54,98,100,1.03,overcast clouds
58,Kaitangata,NZ,-46.2817,169.8464,54.93,60,62,8.03,broken clouds
59,Butaritari,KI,3.0707,172.7902,82.78,74,90,17.6,overcast clouds
60,Castro,BR,-24.7911,-50.0119,64.83,97,100,2.39,overcast clouds
61,Sampit,ID,-2.5333,112.95,84.49,70,90,3.0,overcast clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,23,5.01,few clouds
63,Hilo,US,19.7297,-155.09,78.53,75,20,9.22,few clouds
64,Hami,CN,42.8,93.45,26.85,28,100,10.76,overcast clouds
65,Yellowknife,CA,62.456,-114.3525,-15.59,95,99,8.41,overcast clouds
66,Taltal,CL,-25.4,-70.4833,68.52,73,22,4.34,few clouds
67,Novobirilyussy,RU,56.9514,90.6661,13.66,93,100,5.55,overcast clouds
68,Barrow,US,71.2906,-156.7887,-20.18,69,0,10.36,clear sky
69,Bredasdorp,ZA,-34.5322,20.0403,67.28,95,27,8.21,scattered clouds
70,Tiksi,RU,71.6872,128.8694,-23.01,98,98,6.11,overcast clouds
71,Albany,US,42.6001,-73.9662,11.26,64,7,1.01,clear sky
72,New Norfolk,AU,-42.7826,147.0587,73.65,38,0,1.99,clear sky
73,Upernavik,GL,72.7868,-56.1549,-1.17,97,100,3.38,overcast clouds
74,Marawi,PH,7.9986,124.2928,73.65,56,74,4.81,broken clouds
75,Thaton,MM,16.9206,97.3714,72.54,83,100,3.09,overcast clouds
76,Ostrovnoy,RU,68.0531,39.5131,15.01,84,100,28.54,overcast clouds
77,Ustka,PL,54.5805,16.8619,36.52,96,100,24.63,light rain
78,Valparai,IN,10.3667,76.9667,56.97,83,13,2.3,few clouds
79,Nanortalik,GL,60.1432,-45.2371,9.14,61,100,13.76,overcast clouds
80,Ushuaia,AR,-54.8,-68.3,49.66,57,20,16.11,few clouds
81,Mahebourg,MU,-20.4081,57.7,79.25,80,100,15.55,overcast clouds
82,Nguruka,TZ,-5.1092,31.0419,62.74,96,100,2.1,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,-31.81,100,100,1.97,overcast clouds
84,Bonthe,SL,7.5264,-12.505,75.4,87,47,3.44,scattered clouds
85,Usakos,NA,-22.0,15.6,72.77,72,100,5.01,overcast clouds
86,Hobart,AU,-42.8794,147.3294,74.01,49,20,1.01,few clouds
