City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cukai,MY,2022-02-03 04:14:57,4.25,103.4167,86.14,69,30,8.03
1,Puerto Ayora,EC,2022-02-03 04:14:58,-0.7393,-90.3518,74.55,93,1,4.0
2,Albany,US,2022-02-03 04:14:58,42.6001,-73.9662,44.55,82,100,3.31
3,Kodiak,US,2022-02-03 04:14:58,57.79,-152.4072,38.71,87,100,10.36
4,Pokhara,NP,2022-02-03 04:14:59,28.2333,83.9833,58.37,56,85,4.52
5,Karonga,MW,2022-02-03 04:14:59,-9.9333,33.9333,72.99,87,100,2.19
6,Banikoara,BJ,2022-02-03 04:14:59,11.2985,2.4386,65.12,12,60,5.19
7,Tasiilaq,GL,2022-02-03 04:14:59,65.6145,-37.6368,14.16,74,99,7.87
8,Tuatapere,NZ,2022-02-03 04:15:00,-46.1333,167.6833,57.81,63,100,8.84
9,Sumbawanga,TZ,2022-02-03 04:15:00,-7.9667,31.6167,57.6,97,100,2.44
10,Sao Joao Da Barra,BR,2022-02-03 04:15:01,-21.6403,-41.0511,73.15,94,100,8.41
11,Ushuaia,AR,2022-02-03 04:15:02,-54.8,-68.3,42.46,56,75,17.27
12,East London,ZA,2022-02-03 04:15:02,-33.0153,27.9116,70.74,100,100,8.05
13,Hermanus,ZA,2022-02-03 04:15:03,-34.4187,19.2345,65.89,81,0,14.25
14,Provideniya,RU,2022-02-03 04:15:04,64.3833,-173.3,2.07,71,98,23.69
15,Mbandaka,CD,2022-02-03 04:15:05,0.0487,18.2603,70.9,56,100,0.72
16,Moramanga,MG,2022-02-03 04:15:05,-18.9333,48.2,65.14,83,84,3.96
17,Avera,US,2022-02-03 04:11:10,33.194,-82.5271,58.71,95,100,6.62
18,Aklavik,CA,2022-02-03 04:15:06,68.2191,-135.0107,-24.77,98,100,3.76
19,Vaini,TO,2022-02-03 04:15:07,-21.2,-175.2,86.16,74,40,5.75
20,Fort Nelson,CA,2022-02-03 04:15:09,58.8053,-122.7002,-8.01,77,100,5.75
21,Rikitea,PF,2022-02-03 04:15:10,-23.1203,-134.9692,77.94,76,66,10.22
22,Punta Arenas,CL,2022-02-03 04:14:16,-53.15,-70.9167,42.91,70,40,3.44
23,Busselton,AU,2022-02-03 04:15:10,-33.65,115.3333,90.05,31,87,8.79
24,Haines Junction,CA,2022-02-03 04:15:10,60.7522,-137.5108,-16.65,83,100,1.14
25,Karpathos,GR,2022-02-03 04:15:11,35.507,27.2132,53.56,62,100,20.71
26,Ihosy,MG,2022-02-03 04:15:11,-22.4,46.1167,64.74,86,55,8.16
27,Sioux Lookout,CA,2022-02-03 04:11:02,50.1001,-91.917,-15.27,93,99,8.23
28,Port Blair,IN,2022-02-03 04:15:12,11.6667,92.75,80.64,74,40,9.22
29,Monte Alegre,BR,2022-02-03 04:15:12,-2.0078,-54.0692,73.53,90,98,3.31
30,Katsuura,JP,2022-02-03 04:15:12,35.1333,140.3,48.31,44,100,3.24
31,New Norfolk,AU,2022-02-03 04:15:13,-42.7826,147.0587,63.9,61,91,4.0
32,Arraial Do Cabo,BR,2022-02-03 04:14:13,-22.9661,-42.0278,75.0,88,99,4.76
33,Gudari,IN,2022-02-03 04:15:15,19.35,83.7833,74.59,69,62,3.18
34,Kapaa,US,2022-02-03 04:15:15,22.0752,-159.319,78.78,72,100,4.61
35,Tessalit,ML,2022-02-03 04:15:16,20.1986,1.0114,57.45,16,16,11.14
36,Barrow,US,2022-02-03 04:15:16,71.2906,-156.7887,-20.18,63,75,0.0
37,Mount Gambier,AU,2022-02-03 04:15:17,-37.8333,140.7667,66.4,48,32,13.6
38,Bengkulu,ID,2022-02-03 04:15:18,-3.8004,102.2655,83.35,70,70,6.33
39,Sao Filipe,CV,2022-02-03 04:15:18,14.8961,-24.4956,72.97,77,0,12.97
40,Arenapolis,BR,2022-02-03 04:15:19,-14.4503,-56.8461,71.62,96,54,3.8
41,Mahebourg,MU,2022-02-03 04:15:19,-20.4081,57.7,80.89,89,75,27.63
42,Saint-Denis,FR,2022-02-03 04:15:19,48.9167,2.3333,47.17,76,100,1.01
43,Hay River,CA,2022-02-03 04:15:20,60.8156,-115.7999,-29.22,68,0,2.3
44,Tamandare,BR,2022-02-03 04:15:20,-8.7597,-35.1047,78.51,78,49,6.58
45,Avarua,CK,2022-02-03 04:15:20,-21.2078,-159.775,82.45,78,40,16.11
46,Cockburn Town,TC,2022-02-03 04:16:21,21.4612,-71.1419,72.3,83,100,17.87
47,Alekseyevka,RU,2022-02-03 04:16:21,50.6309,38.6903,32.85,99,100,3.44
48,Geraldton,AU,2022-02-03 04:16:21,-28.7667,114.6,106.21,10,1,19.57
49,Butaritari,KI,2022-02-03 04:15:21,3.0707,172.7902,81.59,79,100,15.59
50,Jamestown,US,2022-02-03 04:16:22,42.097,-79.2353,38.52,68,100,1.01
51,Vila,PT,2022-02-03 04:16:22,42.0304,-8.1588,42.33,79,100,4.29
52,Mahajanga,MG,2022-02-03 04:16:23,-15.7167,46.3167,77.02,88,75,5.75
53,Mari-Turek,RU,2022-02-03 04:16:23,56.7895,49.6235,12.15,99,100,0.4
54,Catuday,PH,2022-02-03 04:16:23,16.2923,119.8062,82.06,60,5,6.04
55,Port Elizabeth,ZA,2022-02-03 04:16:24,-33.918,25.5701,71.1,88,75,12.66
56,Copperas Cove,US,2022-02-03 04:13:07,31.1241,-97.9031,36.05,95,100,24.16
57,Thompson,CA,2022-02-03 04:16:25,55.7435,-97.8558,-14.64,70,0,11.5
58,Hilo,US,2022-02-03 04:16:26,19.7297,-155.09,73.4,79,100,4.61
59,Cabo San Lucas,MX,2022-02-03 04:16:26,22.8909,-109.9124,69.51,70,81,4.0
60,Hearst,CA,2022-02-03 04:16:26,49.6835,-83.6665,-10.95,91,100,7.34
61,Mataura,NZ,2022-02-03 04:16:27,-46.1927,168.8643,57.47,68,100,5.19
62,Chara,RU,2022-02-03 04:16:27,56.9064,118.2631,-14.75,91,75,1.39
63,Ancud,CL,2022-02-03 04:16:27,-41.8697,-73.8203,56.73,92,74,3.51
64,Izhma,RU,2022-02-03 04:16:28,65.0083,53.9113,13.59,98,100,3.87
65,Poum,NC,2022-02-03 04:16:28,-20.2333,164.0167,81.19,70,0,0.94
66,Cape Town,ZA,2022-02-03 04:12:19,-33.9258,18.4232,66.11,88,1,10.11
67,Castro,BR,2022-02-03 04:16:28,-24.7911,-50.0119,62.38,99,15,6.15
68,Weligama,LK,2022-02-03 04:16:29,5.9667,80.4167,81.99,63,10,3.09
69,Hobart,AU,2022-02-03 04:15:01,-42.8794,147.3294,64.26,55,75,21.85
70,Dikson,RU,2022-02-03 04:16:29,73.5069,80.5464,-5.67,95,100,13.02
71,Luganville,VU,2022-02-03 04:16:30,-15.5333,167.1667,82.94,81,99,4.12
72,Trairi,BR,2022-02-03 04:16:30,-3.2778,-39.2689,77.22,86,93,7.02
73,Ambon,ID,2022-02-03 04:16:30,-3.6954,128.1814,91.54,52,40,6.91
74,Lebu,CL,2022-02-03 04:16:31,-37.6167,-73.65,58.17,95,66,8.1
75,Atuona,PF,2022-02-03 04:15:20,-9.8,-139.0333,78.71,75,100,17.58
76,Saskylakh,RU,2022-02-03 04:16:31,71.9167,114.0833,-32.39,100,17,2.42
77,Comodoro Rivadavia,AR,2022-02-03 04:16:32,-45.8667,-67.5,73.26,38,0,5.75
78,Winslow,US,2022-02-03 04:16:32,35.0242,-110.6974,26.78,25,0,1.01
79,Norman Wells,CA,2022-02-03 04:15:45,65.282,-126.8329,-25.56,68,100,9.22
80,Vila Velha,BR,2022-02-03 04:13:06,-20.3297,-40.2925,75.15,96,100,1.01
81,Carnarvon,AU,2022-02-03 04:16:32,-24.8667,113.6333,89.67,55,3,12.66
82,Bilibino,RU,2022-02-03 04:16:33,68.0546,166.4372,-4.09,63,0,5.23
83,Seymchan,RU,2022-02-03 04:16:33,62.8833,152.4333,-12.24,96,87,2.24
84,Marovoay,MG,2022-02-03 04:16:34,-16.1,46.6333,77.14,87,76,1.36
85,Torbay,CA,2022-02-03 04:16:35,47.6666,-52.7314,26.28,90,40,16.11
86,Nikolskoye,RU,2022-02-03 04:16:35,59.7035,30.7861,17.49,100,95,1.1
87,Ouadda,CF,2022-02-03 04:16:35,8.0777,22.4007,71.15,22,74,4.41
88,Bet Shemesh,IL,2022-02-03 04:16:36,31.7496,34.9888,52.57,47,0,5.93
89,Mehamn,NO,2022-02-03 04:16:36,71.0357,27.8492,15.75,86,0,10.36
90,Sorland,NO,2022-02-03 04:16:36,67.667,12.6934,27.86,60,100,11.07
91,Namibe,AO,2022-02-03 04:16:37,-15.1961,12.1522,70.57,74,29,7.47
92,Ayr,GB,2022-02-03 04:16:37,55.4627,-4.6339,49.1,87,100,14.97
93,Beloha,MG,2022-02-03 04:16:37,-25.1667,45.05,72.68,71,0,11.39
94,Bredasdorp,ZA,2022-02-03 04:16:38,-34.5322,20.0403,65.28,82,0,6.53
95,Antalaha,MG,2022-02-03 04:17:38,-14.9003,50.2788,76.5,77,100,2.8
96,Namatanai,PG,2022-02-03 04:17:38,-3.6667,152.4333,79.56,83,100,10.18
97,Kaman,IN,2022-02-03 04:17:39,27.65,77.2667,58.5,57,74,15.77
98,Imbituba,BR,2022-02-03 04:17:39,-28.24,-48.6703,76.89,90,82,10.67
99,Olafsvik,IS,2022-02-03 04:17:40,64.8945,-23.7142,28.42,52,18,2.73
100,Moussoro,TD,2022-02-03 04:17:40,13.6408,16.4901,59.41,15,3,8.86
101,Minchinabad,PK,2022-02-03 04:17:40,30.163,73.5685,56.12,75,93,15.26
102,Hithadhoo,MV,2022-02-03 04:17:41,-0.6,73.0833,81.59,70,6,4.07
103,Rocha,UY,2022-02-03 04:17:41,-34.4833,-54.3333,65.73,97,27,6.98
104,Tiksi,RU,2022-02-03 04:17:41,71.6872,128.8694,-2.47,91,100,9.8
105,Saint-Philippe,RE,2022-02-03 04:17:41,-21.3585,55.7679,83.79,94,100,37.11
106,Talnakh,RU,2022-02-03 04:17:42,69.4865,88.3972,-10.86,98,100,6.85
107,Kingaroy,AU,2022-02-03 04:17:42,-26.5333,151.8333,73.83,93,100,6.13
108,Roald,NO,2022-02-03 04:17:43,62.5833,6.1333,35.33,74,75,16.11
109,Lasa,IT,2022-02-03 04:17:43,46.6166,10.7002,40.46,94,52,8.1
110,Bafoulabe,ML,2022-02-03 04:17:44,13.8065,-10.8321,74.1,15,58,5.44
111,Cherskiy,RU,2022-02-03 04:17:44,68.75,161.3,-19.46,82,82,2.98
112,Cayenne,GF,2022-02-03 04:15:20,4.9333,-52.3333,79.09,88,75,5.01
113,Jiaozuo,CN,2022-02-03 04:17:46,35.2397,113.2331,42.46,40,16,3.74
114,Bandarbeyla,SO,2022-02-03 04:17:46,9.4942,50.8122,75.54,68,15,16.6
115,Richards Bay,ZA,2022-02-03 04:17:46,-28.783,32.0377,75.78,85,6,14.79
116,Bambous Virieux,MU,2022-02-03 04:17:47,-20.3428,57.7575,80.85,89,75,27.63
117,Labuhan,ID,2022-02-03 04:17:47,-6.8844,112.2051,84.96,68,79,7.11
118,Mikhaylovka,RU,2022-02-03 04:17:47,50.06,43.2379,36.79,100,100,14.14
119,Douglas,US,2022-02-03 04:17:48,41.3,-96.167,10.98,49,75,4.0
120,Kalmunai,LK,2022-02-03 04:17:48,7.4167,81.8167,79.45,65,49,4.03
121,Yar-Sale,RU,2022-02-03 04:17:49,66.8333,70.8333,5.43,96,100,8.81
122,Touros,BR,2022-02-03 04:17:49,-5.1989,-35.4608,77.9,79,57,10.09
123,La Ronge,CA,2022-02-03 04:16:31,55.1001,-105.2842,-25.35,75,0,4.61
124,Kununurra,AU,2022-02-03 04:17:49,-15.7667,128.7333,89.58,58,100,12.66
125,Kaitangata,NZ,2022-02-03 04:17:50,-46.2817,169.8464,59.94,71,100,4.68
126,San Juan,AR,2022-02-03 04:17:50,-31.5375,-68.5364,79.3,41,97,5.84
127,Cidreira,BR,2022-02-03 04:17:50,-30.1811,-50.2056,75.58,88,6,20.96
128,Sharlyk,RU,2022-02-03 04:17:51,52.9167,54.75,22.69,95,100,13.53
129,Mar Del Plata,AR,2022-02-03 04:17:51,-38.0023,-57.5575,72.09,86,100,5.01
130,Yellowknife,CA,2022-02-03 04:15:13,62.456,-114.3525,-29.7,80,20,6.91
131,Akkermanovka,RU,2022-02-03 04:17:51,51.2467,58.2391,4.78,97,94,2.33
132,Mastic Beach,US,2022-02-03 04:17:52,40.7668,-72.8521,40.01,90,100,0.0
133,Kuala Terengganu,MY,2022-02-03 04:17:52,5.3302,103.1408,84.15,79,40,6.91
134,Presidente Epitacio,BR,2022-02-03 04:17:53,-21.7633,-52.1156,72.57,95,100,5.44
135,San Cristobal,VE,2022-02-03 04:17:53,7.7669,-72.225,69.98,61,8,1.54
136,Dok Kham Tai,TH,2022-02-03 04:17:53,19.1624,99.9934,80.49,23,4,1.95
137,Leningradskiy,RU,2022-02-03 04:17:54,69.3833,178.4167,-13.43,91,22,9.86
138,Qaanaaq,GL,2022-02-03 04:15:20,77.484,-69.3632,-10.25,81,100,6.62
139,Porto Novo,BJ,2022-02-03 04:17:19,6.4965,2.6036,76.82,87,26,4.34
140,Vostok,RU,2022-02-03 04:17:54,46.4856,135.8833,3.97,84,100,7.99
141,Santiago De Cao,PE,2022-02-03 04:17:55,-7.9589,-79.2392,69.78,82,95,13.29
142,Faanui,PF,2022-02-03 04:18:55,-16.4833,-151.75,81.41,77,13,19.57
143,Constitucion,CL,2022-02-03 04:18:56,-35.3333,-72.4167,56.88,88,70,4.43
144,Husavik,IS,2022-02-03 04:18:56,66.0449,-17.3389,3.11,95,96,0.69
145,Upernavik,GL,2022-02-03 04:18:57,72.7868,-56.1549,-8.37,64,100,6.49
146,Airai,TL,2022-02-03 04:18:57,-8.9266,125.4092,72.93,63,95,5.59
147,Praia,CV,2022-02-03 04:18:57,14.9215,-23.5087,72.14,60,1,20.71
148,Qeshm,IR,2022-02-03 04:18:58,26.9581,56.2719,64.29,43,0,16.93
149,Lavrentiya,RU,2022-02-03 04:18:58,65.5833,-171.0,0.54,64,1,22.57
150,Xingyi,CN,2022-02-03 04:18:59,24.1877,102.817,50.74,68,75,6.98
151,Kangundo,KE,2022-02-03 04:18:59,-1.2979,37.3471,57.94,91,99,1.1
152,Ceres,US,2022-02-03 04:16:14,37.5949,-120.9577,53.06,51,0,12.66
153,Belaya Gora,RU,2022-02-03 04:18:59,68.5333,146.4167,-26.48,99,27,1.25
154,Harlingen,US,2022-02-03 04:15:28,26.1906,-97.6961,74.34,94,100,10.36
155,Hami,CN,2022-02-03 04:19:02,42.8,93.45,26.55,31,96,0.89
156,Bayan,CN,2022-02-03 04:19:03,46.0833,127.4,5.9,83,84,9.22
157,Pisco,PE,2022-02-03 04:19:04,-13.7,-76.2167,66.25,88,0,12.66
158,Tuktoyaktuk,CA,2022-02-03 04:19:04,69.4541,-133.0374,-18.4,76,75,10.36
159,Cape Coast,GH,2022-02-03 04:19:05,5.1053,-1.2466,78.17,83,78,5.39
160,Gua Musang,MY,2022-02-03 04:19:06,4.8823,101.9644,87.22,58,62,2.59
161,Baranain,ES,2022-02-03 04:19:07,42.8057,-1.6773,41.23,86,82,1.14
162,Axim,GH,2022-02-03 04:19:07,4.8699,-2.2405,77.65,85,58,1.16
163,Chapais,CA,2022-02-03 04:19:08,49.7834,-74.8492,2.98,91,100,6.89
164,Pevek,RU,2022-02-03 04:19:09,69.7008,170.3133,-6.81,72,2,3.98
165,Nicoya,CR,2022-02-03 04:19:09,10.1483,-85.452,73.15,78,26,3.78
166,Port Lincoln,AU,2022-02-03 04:19:10,-34.7333,135.8667,67.55,56,25,14.81
167,Svetlogorsk,BY,2022-02-03 04:19:11,52.6333,29.7333,31.46,99,100,3.22
168,Severo-Kurilsk,RU,2022-02-03 04:19:12,50.6789,156.125,30.72,77,100,9.84
169,Daoukro,CI,2022-02-03 04:19:12,7.0591,-3.9631,63.43,24,9,1.32
170,Clyde River,CA,2022-02-03 04:19:13,70.4692,-68.5914,-16.37,76,100,17.27
171,Sri Aman,MY,2022-02-03 04:19:13,1.2376,111.4621,87.85,74,40,3.44
172,Kavieng,PG,2022-02-03 04:19:14,-2.5744,150.7967,80.1,79,100,13.87
173,Chuy,UY,2022-02-03 04:19:14,-33.6971,-53.4616,70.32,90,1,10.89
174,Chokurdakh,RU,2022-02-03 04:19:14,70.6333,147.9167,-23.35,98,68,6.58
175,Colares,PT,2022-02-03 04:19:15,38.7992,-9.4469,55.33,75,100,1.01
176,Luderitz,NA,2022-02-03 04:19:15,-26.6481,15.1594,67.08,80,58,5.14
177,Victoria,HK,2022-02-03 04:15:54,22.2855,114.1577,60.24,82,100,5.01
